Percent_families_BPL,Percent_over_5yrs_not_speak_english_well,Percent_HS_grad_25yrs_above,Percent_with_health_insurance,ZIP
1.3,1.7,15.6,97.5,01740
1.8,4.4,5.6,99.0,01741
3.3,2.3,13.1,98.0,01742
0.0,14.2,28.4,100.0,01745
3.2,1.9,13.2,98.7,01746
1.4,4.3,23.3,99.3,01747
1.2,1.3,13.5,98.0,01748
4.1,8.8,27.1,96.1,01749
5.2,14.0,29.0,95.1,01752
7.4,3.2,25.3,97.1,01754
1.0,1.8,19.6,98.1,01756
8.2,9.2,28.0,95.1,01757
1.5,4.7,13.0,98.8,01760
1.3,1.9,7.6,98.4,01770
1.7,2.0,12.2,98.7,01772
2.7,2.0,5.4,95.5,01773
2.7,0.8,15.9,98.9,01775
1.1,2.6,7.0,99.9,01776
2.2,3.9,6.0,99.6,01778
5.6,6.9,32.3,96.8,01801
4.3,7.0,23.1,97.0,01803
2.6,5.8,10.9,98.3,01810
2.9,2.3,33.9,97.5,01821
2.0,2.6,20.4,98.1,01824
2.9,3.2,36.0,97.7,01826
0.7,0.9,20.2,98.0,01827
13.2,8.2,29.4,95.3,01830
9.3,8.6,29.7,96.2,01832
2.0,0.6,21.9,99.0,01833
2.4,1.3,27.2,97.7,01834
5.7,2.1,24.3,97.6,01835
32.8,47.4,28.3,93.9,01840
27.5,40.4,35.5,91.1,01841
21.4,30.0,31.4,93.4,01843
7.3,11.1,31.2,96.4,01844
3.6,4.0,17.8,96.9,01845
16.7,17.8,38.9,92.6,01850
15.5,28.7,31.7,93.4,01851
16.2,17.3,30.3,93.6,01852
15.9,19.0,35.1,93.8,01854
4.9,0.0,23.5,97.8,01860
3.3,4.6,34.6,97.7,01862
1.1,5.0,26.2,98.9,01863
1.3,1.7,23.5,98.8,01864
2.3,1.9,17.5,98.6,01867
3.6,2.2,33.4,97.5,01876
4.3,1.3,24.7,97.7,01879
2.3,4.4,25.7,97.6,01880
2.5,4.6,11.8,98.6,01886
2.6,3.2,30.6,98.2,01887
2.2,4.9,11.1,99.2,01890
27.6,38.2,27.2,96.5,01901
20.6,26.5,31.3,92.9,01902
2.9,8.3,33.9,97.8,01904
20.0,25.5,34.6,92.9,01905
4.7,5.5,36.0,96.4,01906
